word,Reading,JLPT Level
大柄,おおがら,N1
おおげさ,おおげさ,N1
大筋,おおすじ,N1
大空,おおぞら,N1
オートマチック,オートマチック,N1
大幅,おおはば,N1
おおまかな,おおまかな,N1
大水,おおみず,N1
公,おおやけ,N1
犯す,おかす,N1
侵す,おかす,N1
臆病,おくびょう,N1
遅らす,おくらす,N1
厳か,おごそか,N1
行い,おこない,N1
おごる ,おごる ,N1
収まる,おさまる,N1
納まる,おさまる,N1
治まる,おさまる,N1
お産,おさん,N1
押し切る,おしきる,N1
押し込む,おしこむ,N1
惜しむ,おしむ,N1
押し寄せる,おしよせる,N1
雄,おす,N1
御世辞,おせじ,N1
襲う,おそう,N1
遅くとも,おそくとも,N1
恐れ,おそれ,N1
恐れ入る,おそれいる,N1
おだてる,おだてる,N1
落ち込む,おちこむ,N1
落ち着き,おちつき,N1
落葉,おちば,N1
乙,おつ,N1
お使い,おつかい,N1
おっかない,おっかない,N1
お手上げ,おてあげ,N1
おどおど,おどおど,N1
脅す,おどす,N1
訪れる,おとずれる,N1
お供,おとも,N1
衰える,おとろえる,N1
同い年,おないどし,N1
自ずから,おのずから,N1
怯える,おびえる,N1
おびただしい,おびただしい,N1
脅かす,おびやかす,N1
帯びる,おびる,N1
お袋,おふくろ,N1
覚え,おぼえ,N1
おまけ,おまけ,N1
お宮,おみや,N1
おむつ,おむつ,N1
思い付き,おもいつき,N1
趣,おもむき,N1
赴く,おもむく,N1
重んじる,おもんじる,N1
重んずる,おもんずる,N1
親父,おやじ,N1
及び,および,N1
及ぶ,およぶ,N1
折,おり,N1
檻,おり,N1
オリエンテーション,オリエンテーション,N1
折り返す,おりかえす,N1
織物,おりもの,N1
俺,おれ,N1
愚か,おろか,N1
おろそか,おろそか,N1
おんぶ,おんぶ,N1
オンライン,オンライン,N1
温和,おんわ,N1
我,が～,N1
カーペット,カーペット,N1
～界,～かい,N1
～街,～がい,N1
改悪,かいあく,N1
海運,かいうん,N1
外貨,がいか,N1
改革,かいかく,N1
貝殻,かいがら,N1
外観,がいかん,N1
階級,かいきゅう,N1
海峡,かいきょう,N1
会見,かいけん,N1
介護,かいご,N1
開催,かいさい,N1
回収,かいしゅう,N1
改修,かいしゅう,N1
怪獣,かいじゅう,N1
解除,かいじょ,N1
外相,がいしょう,N1
害する,がいする,N1
概説,がいせつ,N1
回送,かいそう,N1
階層,かいそう,N1
開拓,かいたく,N1
会談,かいだん,N1
改定,かいてい,N1
改訂,かいてい,N1
ガイド,ガイド,N1
街道,かいどう,N1
該当,がいとう,N1
街頭,がいとう,N1
ガイドブック,ガイドブック,N1
介入,かいにゅう,N1
概念,がいねん,N1
開発,かいはつ,N1
海抜,かいばつ,N1
介抱,かいほう,N1
解剖,かいぼう,N1
外来,がいらい,N1
回覧,かいらん,N1
概略,がいりゃく,N1
海流,かいりゅう,N1
改良,かいりょう,N1
回路,かいろ,N1
海路,かいろ,N1
省みる,かえりみる,N1
顧みる,かえりみる,N1
顔付き,かおつき,N1
課外,かがい,N1
掲げる,かかげる,N1
かかと,かかと,N1
書き取る,かきとる,N1
掻き回す,かきまわす,N1
かく ,かく ,N1
～画,～かく,N1
学芸,がくげい,N1
格差,かくさ,N1
拡散,かくさん,N1
学士,がくし,N1
各種,かくしゅ,N1
隔週,かくしゅう,N1
確信,かくしん,N1
革新,かくしん,N1
学説,がくせつ,N1
確定,かくてい,N1
カクテル,カクテル,N1
獲得,かくとく,N1
楽譜,がくふ,N1
確保,かくほ,N1
革命,かくめい,N1
確立,かくりつ,N1
賭,かけ,N1
掛～,かけ～,N1
～掛け,～かけ,N1
崖,がけ,N1
駆け足,かけあし,N1
家計,かけい,N1
駆けっこ,かけっこ,N1
加工,かこう,N1
化合,かごう,N1
かさばる,かさばる,N1
かさむ,かさむ,N1
箇条書,かじょうがき,N1
頭,かしら,N1
微か,かすか,N1
霞む,かすむ,N1
擦る,かする,N1
火星,かせい,N1
化石,かせき,N1
河川,かせん,N1
化繊,かせん,N1
過疎,かそ,N1
片～,かた～,N1
片言,かたこと,N1
傾ける,かたむける,N1
固める,かためる,N1
傍ら,かたわら,N1
花壇,かだん,N1
家畜,かちく,N1
且つ,かつ,N1
がっくり,がっくり,N1
合唱,がっしょう,N1
がっしり,がっしり,N1
合致,がっち,N1
がっちり,がっちり,N1
かつて,かつて,N1
勝手,かって,N1
カット,カット,N1
活発,かっぱつ,N1
合併,がっぺい,N1
カテゴリー,カテゴリー,N1
叶う,かなう,N1
叶える,かなえる,N1
金槌,かなづち,N1
かなわない,かなわない,N1
加入,かにゅう,N1
予て,かねて,N1
庇う,かばう,N1
株式,かぶしき,N1
かぶれる,かぶれる,N1
花粉,かふん,N1
貨幣,かへい,N1
構える,かまえる,N1
過密,かみつ,N1
噛み切る,かみきる,N1
カムバック,カムバック,N1
カメラマン,カメラマン,N1
粥,かゆ,N1
体付き,からだつき,N1
絡む,からむ,N1
かりに,かりに,N1
カルテ,カルテ,N1
ガレージ,ガレージ,N1
過労,かろう,N1
かろうじて,かろうじて,N1
交す,かわす,N1
代る代る,かわるがわる,N1
簡易,かんい,N1
灌漑,かんがい,N1
眼科,がんか,N1
眼球,がんきゅう,N1
玩具,がんぐ,N1
簡潔,かんけつ,N1
還元,かんげん,N1
看護,かんご,N1
漢語,かんご,N1
頑固,がんこ,N1
勧告,かんこく,N1
換算,かんさん,N1
監視,かんし,N1
慣習,かんしゅう,N1
観衆,かんしゅう,N1
願書,がんしょ,N1
干渉,かんしょう,N1
頑丈,がんじょう,N1
感触,かんしょく,N1
肝心,かんじん,N1
肝腎,かんじん,N1
関税,かんぜい,N1
岩石,がんせき,N1
感染,かんせん,N1
幹線,かんせん,N1
簡素,かんそ,N1
観点,かんてん,N1
感度,かんど,N1
カンニング,カンニング,N1
元年,がんねん,N1
幹部,かんぶ,N1
完ぺき,かんぺき,N1
勘弁,かんべん,N1
感無量,かんむりょう,N1
勧誘,かんゆう,N1
関与,かんよ,N1
寛容,かんよう,N1
元来,がんらい,N1
観覧,かんらん,N1
慣例,かんれい,N1
還暦,かんれき,N1
貫禄,かんろく,N1
緩和,かんわ,N1
議案,ぎあん,N1
危害,きがい,N1
企画,きかく,N1
規格,きかく,N1
着飾る,きかざる,N1
気兼ね,きがね,N1
気軽,きがる,N1
危機,きき,N1
聞き取り,ききとり,N1
効き目,ききめ,N1
帰京,ききょう,N1
戯曲,ぎきょく,N1
基金,ききん,N1
喜劇,きげき,N1
議決,ぎけつ,N1
棄権,きけん,N1
既婚,きこん,N1
気障,きざ,N1
記載,きさい,N1
兆,きざし,N1
気質,きしつ,N1
期日,きじつ,N1
きしむ,きしむ,N1
議事堂,ぎじどう,N1
記述,きじゅつ,N1
気象,きしょう,N1
傷付く,きずつく,N1
傷付ける,きずつける,N1
犠牲,ぎせい,N1
汽船,きせん,N1
